text,label,clean_text
LMFAOOOOOO GAY AS FUCK RT @PubesOnFleeK: &#128557;&#128557;&#128557;&#128557;&#128557; get these two faggots off my TL http://t.co/oKUMmSJEYi,1,lmfaoooooo gay as fuck rt @user get these two faggots off my tl [url]
"RT @OGTREEZ: Steve found out you can't call Taiquaniesha a ""stupid fuckin cunt"" like you can w Becky http://t.co/3A5qGki97B",1,"rt @user steve found out you can't call taiquaniesha a ""stupid fuckin cunt"" like you can w becky [url]"
@SBPart01 @melodybrooke11 fuzzy dice might be the nicest thing you could put in your car lol &#127922;&#127922;,2,@user @user fuzzy dice might be the nicest thing you could put in your car lol
@Midnight_Snacka now fuck that stfu shit how a bout u stop being a little bitch and get it round cuz u avoiding question u fucking scarry,1,@user now fuck that stfu shit how a bout u stop being a little bitch and get it round cuz u avoiding question u fucking scarry
Shut up birds it's bed time.,2,shut up birds it's bed time.
"My bitch pussy multi-purpose, it take this dick and hide my dope!",1,"my bitch pussy multi-purpose, it take this dick and hide my dope!"
RT @green_eyed_doll: The birds outside my bedroom window have way too much to talk about for first thing in the morning! Mrrrrrrr....,2,rt @user the birds outside my bedroom window have way too much to talk about for first thing in the morning! mrrrrrrr....
"&#8220;@NoChillPaz: White kids favorite activities
1. Calling people ""niggers"" on Xbox
2.fucking their pet
3. Shooting up their school&#8221;",0,"@user white kids favorite activities 1. calling people ""niggers"" on xbox 2.fucking their pet 3. shooting up their school"
I don't buy pussy cuz it's free bitch I buy lacs!,1,i don't buy pussy cuz it's free bitch i buy lacs!
Yeah hoe.,1,yeah hoe.
RT @BallOut057: Free Tino lul hoe &#9995;&#128275;,1,rt @user free tino lul hoe
"If I were born black; 
I would have tons of kids, never work, get lots of free stuff &amp; bitch about it! 
Thank God I wasn't~What a DRAG I'd B",1,"if i were born black; i would have tons of kids, never work, get lots of free stuff bitch about it! thank god i wasn't~what a drag i'd b"
RT @davegetnmoney: I beat the pussy up up up up up...,1,rt @user i beat the pussy up up up up up...
&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; RT @PushupSensei: McNair had brisket sizzlin on the grill when his side hoe laid the Uzi game down,1,rt @user mcnair had brisket sizzlin on the grill when his side hoe laid the uzi game down
RT @Its_KingWalt: Bruh.. Don't do this RT &#8220;@Trent_W93: Females swear their best friend is the baddest bitch in the world!&#8221;,1,rt @user bruh.. don't do this rt @user females swear their best friend is the baddest bitch in the world!
"My Hawaiian thought of the day, No Aloha for muzzie pigs, EVER!",2,"my hawaiian thought of the day, no aloha for muzzie pigs, ever!"
You wanna watch the game she wanna watch #scandal but yo bitch ass didn't buy her another tv so you gotta take da L,1,you wanna watch the game she wanna watch #scandal but yo bitch ass didn't buy her another tv so you gotta take da l
we don't pay hoes... we don't save hoes,1,we don't pay hoes... we don't save hoes
@05235fd083ad408 hick yes,2,@user hick yes
But this emotional shit is absolutely for the birds.....,1,but this emotional shit is absolutely for the birds.....
This nigga @80sbaby4life gotta weird gay shoe fetish...&amp; I'm sick of y'all letting this island nigger slide! http://t.co/E96cQ8kKBo,1,this nigga @user gotta weird gay shoe fetish... i'm sick of y'all letting this island nigger slide! [url]
"Damn, birds stay shitting on my car..",1,"damn, birds stay shitting on my car.."
Fairy Tale Hat - free crochet pattern for child and adult at http://t.co/0lRaBLMHB2 http://t.co/99zVbmYVe9,2,fairy tale hat - free crochet pattern for child and adult at [url] [url]
@GrizzboAdams @wyattnuckels this Friday at the c burg mall you gettin whipped like the bitches I fuck,1,@user @user this friday at the c burg mall you gettin whipped like the bitches i fuck
RT @ChukaOffor: Lmaooo hoes so childish &#128557;&#128514;&#128557;&#128514; http://t.co/uSFmd01sAF,1,rt @user lmaooo hoes so childish [url]
@KeenoKlutch im on that hoe now,1,@user im on that hoe now
it's so weird outside. it's like yellow.,2,it's so weird outside. it's like yellow.
She sharing her hoe... She know though.. At least I hope she do. LMAO!,1,she sharing her hoe... she know though.. at least i hope she do. lmao!
I ont like that game wit that retarded ass bird &#128530;,1,i ont like that game wit that retarded ass bird
"RT @AIanHangover: ""what are you 15?""

yeah on a scale of one to ten, bitch",1,"rt @user ""what are you 15?"" yeah on a scale of one to ten, bitch"
Heard you gotta new bitch. See ya postin' up thinkin' that it's making me sick.,1,heard you gotta new bitch. see ya postin' up thinkin' that it's making me sick.
"@hardball @now @hardball_chris now jimmy want to talk trash would've ,should've, could've now, Chris stop talking and spitting!!!!!!!!!!!!!!",2,"@user @user @user now jimmy want to talk trash would've ,should've, could've now, chris stop talking and spitting!!!!!!!!!!!!!!"
If you sneak dissing &amp; I come to you tryna address the initial issue &amp; you say it ain't nothing... You a bitch,1,if you sneak dissing i come to you tryna address the initial issue you say it ain't nothing... you a bitch
When you ain't had pussy in a hot minute... http://t.co/tP05IA7JbX,1,when you ain't had pussy in a hot minute... [url]
The boy who shot albino deer http://t.co/D4XajBEIb1,2,the boy who shot albino deer [url]
@SeauxCocoa you getting new pussy and not sharing??,1,@user you getting new pussy and not sharing??
Im the niggah she really wanna ride wit,1,im the niggah she really wanna ride wit
@_CaliStrong - lol it's possible that a hoe can treat you the right way but will she love you the right way? No. A hoe will be a hoe.,1,@user - lol it's possible that a hoe can treat you the right way but will she love you the right way? no. a hoe will be a hoe.
RT @NickCoyne001: Guys who tweet shit to get a bunch of favorites are on the same level as hoes,1,rt @user guys who tweet shit to get a bunch of favorites are on the same level as hoes
"For those wondering why DHS was buying up all the ammo, now you know. Once the Charlie Manson er, @BarackObama race war starts its on #POTUS",2,"for those wondering why dhs was buying up all the ammo, now you know. once the charlie manson er, @user race war starts its on #potus"
@chrisrmz95 dude was a bitch nigga and took off running,1,@user dude was a bitch nigga and took off running
&#8220;@_BeautifulKeezy: the boy told Lyssa make them $50 &#128514;&#128514;&#128514;&#128128;&#8221;&#128514;&#128514;&#128514;&#128128; yes bitch and I need em,1,@user the boy told lyssa make them $50 yes bitch and i need em
Look at you.. Now look at us.. All my niggas look pussy as fuck,1,look at you.. now look at us.. all my niggas look pussy as fuck
"Macc &amp; Cheese 
Maccin these bitches &amp; Makin my Cheese&#128514;&#128557;&#128514;",1,macc cheese maccin these bitches makin my cheese
RT @ThatBoyACE71: Vonte not tweeting like a bitch finally,1,rt @user vonte not tweeting like a bitch finally
I think I read the worst interview ever. Lee Castro and one of the 2 dope bitches. Neither one of these two belong in media.,1,i think i read the worst interview ever. lee castro and one of the 2 dope bitches. neither one of these two belong in media.
"Dudes proudly volunteer to be baby daddy #2,3,4 and 5.Whether they'll be a father or not all over some pussy property.",1,"dudes proudly volunteer to be baby daddy #2,3,4 and 5.whether they'll be a father or not all over some pussy property."
"You #football #nigga #KISS #ISIS #wifebeater #faggots&gt; WE SEE YOU&gt; Shout it out to the RADICAL #IslamNation, #YO&gt;",0,"you #football #nigga #kiss #isis #wifebeater #faggots we see you shout it out to the radical #islamnation, #yo"
@Alejandro_Bihhh lmaoooo hell naw bro I be up i haven't seen that hoe,1,@user lmaoooo hell naw bro i be up i haven't seen that hoe
I may or may not have at least 4 FOB related tattoos already planned out.,2,i may or may not have at least 4 fob related tattoos already planned out.
"I hate people who talk loud, ignorant ass mother fuckers and ghetto people.",1,"i hate people who talk loud, ignorant ass mother fuckers and ghetto people."
the mom acts like a bitch doe like ok ur losing ur memory but don't be a cunt to ur daughter,1,the mom acts like a bitch doe like ok ur losing ur memory but don't be a cunt to ur daughter
@thejokerxo porn stars are 100% acceptable bro. Im was talking about these air mattress hoes....lol,1,@user porn stars are 100% acceptable bro. im was talking about these air mattress hoes....lol
Shine on them hoes,1,shine on them hoes
"#Yankees Primo! Just got home and the Tanks are on MLB. Finally! And they are winning! Even better. Time to get serious, Sept call up time",2,"#yankees primo! just got home and the tanks are on mlb. finally! and they are winning! even better. time to get serious, sept call up time"
"RT @buckupside: What kind of world do we live in, where bitches are getting surgery to make their butts BIGGER!? Since when do women want a&#8230;",1,"rt @user what kind of world do we live in, where bitches are getting surgery to make their butts bigger!? since when do women want a"
&#8220;@Xenoss_: ''single af'' we don't care you're ugly anyways&#8221; @ me pussy,1,@user ''single af'' we don't care you're ugly anyways @ me pussy
Slap a hoe with a rusty axe ash my blunts on her ass,1,slap a hoe with a rusty axe ash my blunts on her ass
Retweet to spam this faggot RT @ChickenColeman: Dick going &#128070;,1,retweet to spam this faggot rt @user dick going
ya'll niggers have a good thanksgiving,1,ya'll niggers have a good thanksgiving
@katherinerrrr hoes gon be hoes so so i couldn't blame tammy,1,@user hoes gon be hoes so so i couldn't blame tammy
Grant bitches more than a 14 year old white bitch,1,grant bitches more than a 14 year old white bitch
Red bitch with me dark skin friend callin talkin bout come and get me,1,red bitch with me dark skin friend callin talkin bout come and get me
"RT @DamierGenesis: ""had all the bitches on MySpace going nuts....""",1,"rt @user ""had all the bitches on myspace going nuts...."""
Why did you release my nudes you cunt...? @sickgirl12345 http://t.co/Nn4OdiZR8l,1,why did you release my nudes you cunt...? @user [url]
and if that's yo bitch then you may have to fight holmezz,1,and if that's yo bitch then you may have to fight holmezz
"Youre a fucking ugly bitch, I wanna stab you to death and then play around with your blood -Patrick Bateman",0,"youre a fucking ugly bitch, i wanna stab you to death and then play around with your blood -patrick bateman"
""" these bitches even worst they'll send them guys for you """,1,""" these bitches even worst they'll send them guys for you """
"Do you have a nickname? What is it? &#8212; Tator, Tator tot, Tightey whitey, whitey Jr, Taylor whitey pants, agent ti... http://t.co/xLBhDJfBF4",2,"do you have a nickname? what is it? tator, tator tot, tightey whitey, whitey jr, taylor whitey pants, agent ti... [url]"
@kieffer_jason @NathannDevlin @zach_smith98 bitch how tf am dumb your going off what someone else told you so u can shut that shit up,1,@user @user @user bitch how tf am dumb your going off what someone else told you so u can shut that shit up
"Bye, Bye Charlie Strong.",2,"bye, bye charlie strong."
@JavelinaBlue @mdjacksondallas @KennettDems yep. Texas is redneck heaven.,1,@user @user @user yep. texas is redneck heaven.
RT @willgoes_ham: I love bad bitches that's my fuckin problem &#128527;,1,rt @user i love bad bitches that's my fuckin problem
@GrizzboAdams roid rage much faggot?,0,@user roid rage much faggot?
Deez niggas pussy so fuck em deez niggas ass so buss em,1,deez niggas pussy so fuck em deez niggas ass so buss em
Bumpin that nigga nigga Rick Ross B.M.F this hoe going harrrrd highh outside enjoying this weather,1,bumpin that nigga nigga rick ross b.m.f this hoe going harrrrd highh outside enjoying this weather
RT @JHarmelink182: The fox says you're a cunt.,0,rt @user the fox says you're a cunt.
RT @llvvzz: Twitter should dump the little blue bird mascot and just officially change it to a set of boobs.,1,rt @user twitter should dump the little blue bird mascot and just officially change it to a set of boobs.
@MrCatLoverx text me bitch,1,@user text me bitch
@LexiLanxon ratchet white trash,1,@user ratchet white trash
Amazing. You know what they say about birds of a feather http://t.co/mefmPB3aW5,2,amazing. you know what they say about birds of a feather [url]
@KaylahPrettyMom lmao girlllaaaa I don't like em chunky anymore.&#128514;&#128514;&#128514;&#128514;&#128567;,2,@user lmao girlllaaaa i don't like em chunky anymore.
Bitches will be bitches.,1,bitches will be bitches.
RT @maya_hampton: i really do get excited to see my bad bitch association in lunch everyday they always make me laugh,1,rt @user i really do get excited to see my bad bitch association in lunch everyday they always make me laugh
This my dog telling me he is done playing frisbee for now.. lazy mutt http://t.co/l4AocjczsH,2,this my dog telling me he is done playing frisbee for now.. lazy mutt [url]
@derek_gatewood it's not ghetto you fool.,2,@user it's not ghetto you fool.
&#8220;@B_Davis0529: SMDH Eagles fans. You a bitch! RT @MikeMiss975: Hey Giants fans: Victor Cruz is over. Dance to that.&#8221; Hey watch it,1,@user smdh eagles fans. you a bitch! rt @user hey giants fans: victor cruz is over. dance to that. hey watch it
